Article_URL,Adresse,Kvdm
https://www.boligsiden.dk/adresse/aggersborggade-9-3-th-2100-koebenhavn-oe-01010044___9__3__th,"Aggersborggade 9, 3. th. 2100 København Ø",82
https://www.boligsiden.dk/adresse/ellebjergvej-17-0-tv-2450-koebenhavn-sv-01011492__17_st__tv,"Ellebjergvej 17, st. tv. 2450 København SV",98
https://www.boligsiden.dk/adresse/amerika-plads-23-1-th-2100-koebenhavn-oe-01010139__23__1__th,"Amerika Plads 23, 1. th. 2100 København Ø",135
https://www.boligsiden.dk/adresse/oester-soegade-96-4-th-2100-koebenhavn-oe-01018608__96__4__th,"Øster Søgade 96, 4. th. 2100 København Ø",165
https://www.boligsiden.dk/adresse/parmagade-40-4-th-2300-koebenhavn-s-01015424__40__4__th,"Parmagade 40, 4. th. 2300 København S",45
https://www.boligsiden.dk/adresse/lundtoftegade-97-4-tv-2200-koebenhavn-n-01014448__97__4__tv,"Lundtoftegade 97, 4. tv. 2200 København N",52
https://www.boligsiden.dk/adresse/bisiddervej-4-3-tv-2400-koebenhavn-nv-01010520___4__3__tv,"Bisiddervej 4, 3. tv. 2400 København NV",54
https://www.boligsiden.dk/adresse/robert-jacobsens-vej-8-2-mf-2300-koebenhavn-s-01015894___8__2__mf,"Robert Jacobsens Vej 8, 2. mf. 2300 København S",91
https://www.boligsiden.dk/adresse/aebeloegade-27-0-2100-koebenhavn-oe-01018500__27_st____,"Æbeløgade 27, st. 2100 København Ø",71
https://www.boligsiden.dk/adresse/ungarnsgade-19-3-tv-2300-koebenhavn-s-01017848__19__3__tv,"Ungarnsgade 19, 3. tv. 2300 København S",55
https://www.boligsiden.dk/adresse/wildersgade-34-2-th-1408-koebenhavn-k-01018340__34__2__th,"Wildersgade 34, 2. th. 1408 København K",104
https://www.boligsiden.dk/adresse/bratskovvej-19-2-tv-2720-vanloese-01010800__19__2__tv,"Bratskovvej 19, 2. tv. 2720 Vanløse",106
https://www.boligsiden.dk/adresse/birketinget-2a-2-124-2300-koebenhavn-s-01010510__2a__2_124,"Birketinget 2A, 2. 124. 2300 København S",44
https://www.boligsiden.dk/adresse/ove-billes-vej-15-0-2300-koebenhavn-s-01015352__15_st____,"Ove Billes Vej 15, st. 2300 København S",123
https://www.boligsiden.dk/adresse/kongelundsvej-39-0-2300-koebenhavn-s-01013844__39_st____,"Kongelundsvej 39, st. 2300 København S",99
https://www.boligsiden.dk/adresse/mozartsvej-30-0-th-2450-koebenhavn-sv-01014844__30_st__th,"Mozartsvej 30, st. th. 2450 København SV",49
https://www.boligsiden.dk/adresse/kenny-drews-vej-7-1-th-2450-koebenhavn-sv-01018825___7__1__th,"Kenny Drews Vej 7, 1. th. 2450 København SV",91
https://www.boligsiden.dk/adresse/wagnersvej-8-0-tv-2450-koebenhavn-sv-01017888___8_st__tv,"Wagnersvej 8, st. tv. 2450 København SV",84
https://www.boligsiden.dk/adresse/tove-ma%C3%ABs-vej-3-0-th-2500-valby-01017606___3_st__th,"Tove Maës Vej 3, st. th. 2500 Valby",78
https://www.boligsiden.dk/adresse/tuxensvej-5-0-2700-broenshoej-01017716___5_st____,"Tuxensvej 5, st. 2700 Brønshøj",100
https://www.boligsiden.dk/adresse/kronprinsessegade-46a-3-tv-1306-koebenhavn-k-01013996_46a__3__tv,"Kronprinsessegade 46A, 3. tv. 1306 København K",96
https://www.boligsiden.dk/adresse/korsoergade-28-3-tv-2100-koebenhavn-oe-01013928__28__3__tv,"Korsørgade 28, 3. tv. 2100 København Ø",53
https://www.boligsiden.dk/adresse/harrestrupvang-9c-0-th-2500-valby-01012656__9c_st__th,"Harrestrupvang 9C, st. th. 2500 Valby",53
https://www.boligsiden.dk/adresse/tagensvej-39-2-tv-2200-koebenhavn-n-01017336__39__2__tv,"Tagensvej 39, 2. tv. 2200 København N",86
https://www.boligsiden.dk/adresse/weidekampsgade-61-6-th-2300-koebenhavn-s-01018122__61__6__th,"Weidekampsgade 61, 6. th. 2300 København S",79
https://www.boligsiden.dk/adresse/limfjordsvej-37-1-th-2720-vanloese-01014312__37__1__th,"Limfjordsvej 37, 1. th. 2720 Vanløse",39
https://www.boligsiden.dk/adresse/saltoevej-9-1-2720-vanloese-01016192___9__1____,"Saltøvej 9, 1. 2720 Vanløse",125
https://www.boligsiden.dk/adresse/provstevej-2b-4-tv-2400-koebenhavn-nv-01015628__2b__4__tv,"Provstevej 2B, 4. tv. 2400 København NV",53
https://www.boligsiden.dk/adresse/frederikssundsvej-193a-1-tv-2700-broenshoej-01011964193a__1__tv,"Frederikssundsvej 193A, 1. tv. 2700 Brønshøj",56
https://www.boligsiden.dk/adresse/markskellet-1-2-mf-2720-vanloese-01014648___1__2__mf,"Markskellet 1, 2. mf. 2720 Vanløse",56
https://www.boligsiden.dk/adresse/frederikssundsvej-42-1-tv-2400-koebenhavn-nv-01011964__42__1__tv,"Frederikssundsvej 42, 1. tv. 2400 København NV",51
https://www.boligsiden.dk/adresse/loengangstraede-21b-0-1468-koebenhavn-k-01014548_21b_st____,"Løngangstræde 21B, st. 1468 København K",105
https://www.boligsiden.dk/adresse/adelgade-49-3-th-1304-koebenhavn-k-01010024__49__3__th,"Adelgade 49, 3. th. 1304 København K",81
https://www.boligsiden.dk/adresse/drejoegade-28-4-404-2100-koebenhavn-oe-01011332__28__4_404,"Drejøgade 28, 4. 404. 2100 København Ø",69
https://www.boligsiden.dk/adresse/rovsingsgade-39-0-tv-2200-koebenhavn-n-01015988__39_st__tv,"Rovsingsgade 39, st. tv. 2200 København N",112
https://www.boligsiden.dk/adresse/meklenborggade-4-0-tv-2300-koebenhavn-s-01014696___4_st__tv,"Meklenborggade 4, st. tv. 2300 København S",36
https://www.boligsiden.dk/adresse/nattergalevej-82-3-2400-koebenhavn-nv-01014948__82__3____,"Nattergalevej 82, 3. 2400 København NV",49
https://www.boligsiden.dk/adresse/midtermolen-2-1-th-2100-koebenhavn-oe-01014745___2__1__th,"Midtermolen 2, 1. th. 2100 København Ø",99
https://www.boligsiden.dk/adresse/thingvalla-alle-4-1-2300-koebenhavn-s-01017388___4__1____,"Thingvalla Allé 4, 1. 2300 København S",120
https://www.boligsiden.dk/adresse/marstalsgade-18-2-tv-2100-koebenhavn-oe-01014668__18__2__tv,"Marstalsgade 18, 2. tv. 2100 København Ø",55
https://www.boligsiden.dk/adresse/nattergalevej-82-0-tv-2400-koebenhavn-nv-01014948__82_st__tv,"Nattergalevej 82, st. tv. 2400 København NV",54
https://www.boligsiden.dk/adresse/goteborg-plads-12-1-mf-2150-nordhavn-01018830__12__1__mf,"Göteborg Plads 12, 1. mf. 2150 Nordhavn",129
https://www.boligsiden.dk/adresse/richard-mortensens-vej-73-7-p6-2300-koebenhavn-s-01015833__73__7__p6,"Richard Mortensens Vej 73, 7. p6. 2300 København S",106
https://www.boligsiden.dk/adresse/strandgade-81-1-1-1401-koebenhavn-k-01016992__81__1___1,"Strandgade 81, 1. 1. 1401 København K",83
https://www.boligsiden.dk/adresse/borgerbo-7-3-th-2300-koebenhavn-s-01010712___7__3__th,"Borgerbo 7, 3. th. 2300 København S",87
https://www.boligsiden.dk/adresse/holsteinsgade-61-3-th-2100-koebenhavn-oe-01013008__61__3__th,"Holsteinsgade 61, 3. th. 2100 København Ø",102
https://www.boligsiden.dk/adresse/nordre-frihavnsgade-100b-3-th-2100-koebenhavn-oe-01015044100b__3__th,"Nordre Frihavnsgade 100B, 3. th. 2100 København Ø",53
https://www.boligsiden.dk/adresse/hoersholmsgade-22h-6-th-2200-koebenhavn-n-01013236_22h__6__th,"Hørsholmsgade 22H, 6. th. 2200 København N",98
https://www.boligsiden.dk/adresse/oester-soegade-106a-4-th-2100-koebenhavn-oe-01018608106a__4__th,"Øster Søgade 106A, 4. th. 2100 København Ø",37
https://www.boligsiden.dk/adresse/nikolaj-plads-34-2-tv-1067-koebenhavn-k-01014992__34__2__tv,"Nikolaj Plads 34, 2. tv. 1067 København K",103
https://www.boligsiden.dk/adresse/trelleborggade-14-0-tv-2150-nordhavn-01015766__14_st__tv,"Trelleborggade 14, st. tv. 2150 Nordhavn",55
https://www.boligsiden.dk/adresse/ingerslevsgade-134-3-th-1705-koebenhavn-v-01013272_134__3__th,"Ingerslevsgade 134, 3. th. 1705 København V",65
https://www.boligsiden.dk/adresse/hvalsoevej-42a-1-th-2700-broenshoej-01013104_42a__1__th,"Hvalsøvej 42A, 1. th. 2700 Brønshøj",58
https://www.boligsiden.dk/adresse/kenny-drews-vej-101-1-4-2450-koebenhavn-sv-01018825_101__1___4,"Kenny Drews Vej 101, 1. 4. 2450 København SV",130
https://www.boligsiden.dk/adresse/oernevej-52-2-tv-2400-koebenhavn-nv-01018560__52__2__tv,"Ørnevej 52, 2. tv. 2400 København NV",86
https://www.boligsiden.dk/adresse/halsskovgade-2-2-216-2100-koebenhavn-oe-01012546___2__2_216,"Halsskovgade 2, 2. 216. 2100 København Ø",48
https://www.boligsiden.dk/adresse/vermundsgade-24-0-2100-koebenhavn-oe-01018180__24_st____,"Vermundsgade 24, st. 2100 København Ø",85
https://www.boligsiden.dk/adresse/sankt-jakobs-gade-14-0-th-2100-koebenhavn-oe-01016252__14_st__th,"Sankt Jakobs Gade 14, st. th. 2100 København Ø",88
https://www.boligsiden.dk/adresse/noerre-alle-11b-1-tv-2200-koebenhavn-n-01015188_11b__1__tv,"Nørre Allé 11B, 1. tv. 2200 København N",79
https://www.boligsiden.dk/adresse/weidekampsgade-67-4-th-2300-koebenhavn-s-01018122__67__4__th,"Weidekampsgade 67, 4. th. 2300 København S",112
https://www.boligsiden.dk/adresse/noerre-sidealle-7-1-th-2200-koebenhavn-n-01015208___7__1__th,"Nørre Sideallé 7, 1. th. 2200 København N",72
https://www.boligsiden.dk/adresse/strandlodsvej-18a-2300-koebenhavn-s-01016996_18a_______,Strandlodsvej 18A 2300 København S,128
https://www.boligsiden.dk/adresse/rebildvej-25a-1-2720-vanloese-01015760_25a__1____,"Rebildvej 25A, 1. 2720 Vanløse",118
https://www.boligsiden.dk/adresse/lily-brobergs-vej-53-0-th-2500-valby-01014310__53_st__th,"Lily Brobergs Vej 53, st. th. 2500 Valby",76
https://www.boligsiden.dk/adresse/bramslykkevej-4-1-tv-2500-valby-01010788___4__1__tv,"Bramslykkevej 4, 1. tv. 2500 Valby",61
https://www.boligsiden.dk/adresse/aalandsgade-32-2-tv-2300-koebenhavn-s-01018664__32__2__tv,"Ålandsgade 32, 2. tv. 2300 København S",52
https://www.boligsiden.dk/adresse/vordingborggade-74-1-th-2100-koebenhavn-oe-01018452__74__1__th,"Vordingborggade 74, 1. th. 2100 København Ø",70
https://www.boligsiden.dk/adresse/bogtrykkervej-6-1-th-2400-koebenhavn-nv-01010676___6__1__th,"Bogtrykkervej 6, 1. th. 2400 København NV",59
https://www.boligsiden.dk/adresse/mellemforts-alle-4-2-th-2300-koebenhavn-s-01014708___4__2__th,"Mellemforts Allé 4, 2. th. 2300 København S",59
https://www.boligsiden.dk/adresse/asminderoedgade-3-1-tv-2200-koebenhavn-n-01010244___3__1__tv,"Asminderødgade 3, 1. tv. 2200 København N",85
https://www.boligsiden.dk/adresse/bisiddervej-10-0-th-2400-koebenhavn-nv-01010520__10_st__th,"Bisiddervej 10, st. th. 2400 København NV",40
https://www.boligsiden.dk/adresse/puggaardsgade-18-3-tv-1573-koebenhavn-v-01015660__18__3__tv,"Puggaardsgade 18, 3. tv. 1573 København V",101
https://www.boligsiden.dk/adresse/tordenskjoldsgade-23-1-th-1055-koebenhavn-k-01017564__23__1__th,"Tordenskjoldsgade 23, 1. th. 1055 København K",128
https://www.boligsiden.dk/adresse/kastrupvej-50-3-g-2300-koebenhavn-s-01013600__50__3___g,"Kastrupvej 50, 3. g. 2300 København S",66
https://www.boligsiden.dk/adresse/marengovej-2-1-mf-2300-koebenhavn-s-01014632___2__1__mf,"Marengovej 2, 1. mf. 2300 København S",28
https://www.boligsiden.dk/adresse/hiort-lorenzens-gade-6-0-th-2200-koebenhavn-n-01012908___6_st__th,"Hiort Lorenzens Gade 6, st. th. 2200 København N",54
https://www.boligsiden.dk/adresse/dunkerquegade-27-2-th-2150-nordhavn-01011374__27__2__th,"Dunkerquegade 27, 2. th. 2150 Nordhavn",80
https://www.boligsiden.dk/adresse/roennegade-16-2-mf-2100-koebenhavn-oe-01016128__16__2__mf,"Rønnegade 16, 2. mf. 2100 København Ø",54
https://www.boligsiden.dk/adresse/enghavevej-19-3-th-1674-koebenhavn-v-01011592__19__3__th,"Enghavevej 19, 3. th. 1674 København V",48
https://www.boligsiden.dk/adresse/rydsletten-23-2-th-2720-vanloese-01016036__23__2__th,"Rydsletten 23, 2. th. 2720 Vanløse",53
https://www.boligsiden.dk/adresse/islands-brygge-32a-6-656-2300-koebenhavn-s-01013300_32a__6_656,"Islands Brygge 32A, 6. 656. 2300 København S",109
https://www.boligsiden.dk/adresse/robert-jacobsens-vej-84-5-2-2300-koebenhavn-s-01015894__84__5___2,"Robert Jacobsens Vej 84, 5. 2. 2300 København S",64
https://www.boligsiden.dk/adresse/frederikssundsvej-68g-4-tv-2400-koebenhavn-nv-01011964_68g__4__tv,"Frederikssundsvej 68G, 4. tv. 2400 København NV",54
https://www.boligsiden.dk/adresse/noerre-soegade-9a-2-th-1370-koebenhavn-k-01015212__9a__2__th,"Nørre Søgade 9A, 2. th. 1370 København K",107
https://www.boligsiden.dk/adresse/alliancevej-33-4-th-2450-koebenhavn-sv-01010090__33__4__th,"Alliancevej 33, 4. th. 2450 København SV",114
https://www.boligsiden.dk/adresse/markskellet-15-2-tv-2720-vanloese-01014648__15__2__tv,"Markskellet 15, 2. tv. 2720 Vanløse",59
https://www.boligsiden.dk/adresse/bjelkes-alle-11a-3-th-2200-koebenhavn-n-01010560_11a__3__th,"Bjelkes Allé 11A, 3. th. 2200 København N",44
https://www.boligsiden.dk/adresse/greisvej-27-0-th-2300-koebenhavn-s-01012288__27_st__th,"Greisvej 27, st. th. 2300 København S",59
https://www.boligsiden.dk/adresse/store-kongensgade-67a-0-tv-1264-koebenhavn-k-01016948_67a_st__tv,"Store Kongensgade 67A, st. tv. 1264 København K",156
https://www.boligsiden.dk/adresse/ny-carlsberg-vej-2-2-tv-1760-koebenhavn-v-01015100___2__2__tv,"Ny Carlsberg Vej 2, 2. tv. 1760 København V",74
https://www.boligsiden.dk/adresse/clara-pontoppidans-vej-8-0-th-2500-valby-01011166___8_st__th,"Clara Pontoppidans Vej 8, st. th. 2500 Valby",93
https://www.boligsiden.dk/adresse/sankt-gertruds-straede-6c-0-1129-koebenhavn-k-01016236__6c_st____,"Sankt Gertruds Stræde 6C, st. 1129 København K",73
https://www.boligsiden.dk/adresse/frimestervej-7-0-tv-2400-koebenhavn-nv-01011996___7_st__tv,"Frimestervej 7, st. tv. 2400 København NV",50
https://www.boligsiden.dk/adresse/uffesgade-8-1-tv-2200-koebenhavn-n-01017812___8__1__tv,"Uffesgade 8, 1. tv. 2200 København N",77
https://www.boligsiden.dk/adresse/hannemanns-alle-12u-4-5-2300-koebenhavn-s-01012578_12u__4___5,"Hannemanns Allé 12U, 4. 5. 2300 København S",104
https://www.boligsiden.dk/adresse/weidekampsgade-53-5-tv-2300-koebenhavn-s-01018122__53__5__tv,"Weidekampsgade 53, 5. tv. 2300 København S",106
https://www.boligsiden.dk/adresse/holtegade-4-1-th-2200-koebenhavn-n-01013012___4__1__th,"Holtegade 4, 1. th. 2200 København N",107
https://www.boligsiden.dk/adresse/kongedybet-2-5-th-2300-koebenhavn-s-01013836___2__5__th,"Kongedybet 2, 5. th. 2300 København S",87
https://www.boligsiden.dk/adresse/dunkerquegade-37-0-tv-2150-nordhavn-01011374__37_st__tv,"Dunkerquegade 37, st. tv. 2150 Nordhavn",128
https://www.boligsiden.dk/adresse/dragsholmvej-5-0-2720-vanloese-01011320___5_st____,"Dragsholmvej 5, st. 2720 Vanløse",92
https://www.boligsiden.dk/adresse/stockholmsgade-59-3-th-2100-koebenhavn-oe-01016920__59__3__th,"Stockholmsgade 59, 3. th. 2100 København Ø",120
https://www.boligsiden.dk/adresse/ved-slusen-25-0-2300-koebenhavn-s-01018090__25_st____,"Ved Slusen 25, st. 2300 København S",90
https://www.boligsiden.dk/adresse/bremensgade-17-1-tv-2300-koebenhavn-s-01010828__17__1__tv,"Bremensgade 17, 1. tv. 2300 København S",61
https://www.boligsiden.dk/adresse/birketinget-2c-1-313-2300-koebenhavn-s-01010510__2c__1_313,"Birketinget 2C, 1. 313. 2300 København S",45
https://www.boligsiden.dk/adresse/dagmarsgade-19-2-311-2200-koebenhavn-n-01011208__19__2_311,"Dagmarsgade 19, 2. 311. 2200 København N",59
https://www.boligsiden.dk/adresse/horsekildevej-20-3-th-2500-valby-01013028__20__3__th,"Horsekildevej 20, 3. th. 2500 Valby",61
https://www.boligsiden.dk/adresse/alliancevej-25-0-th-2450-koebenhavn-sv-01010090__25_st__th,"Alliancevej 25, st. th. 2450 København SV",108
https://www.boligsiden.dk/adresse/elbagade-19-2-tv-2300-koebenhavn-s-01011480__19__2__tv,"Elbagade 19, 2. tv. 2300 København S",58
https://www.boligsiden.dk/adresse/kroghsgade-5-4-tv-2100-koebenhavn-oe-01013980___5__4__tv,"Kroghsgade 5, 4. tv. 2100 København Ø",77
https://www.boligsiden.dk/adresse/raadvadsvej-10-0-tv-2400-koebenhavn-nv-01016164__10_st__tv,"Rådvadsvej 10, st. tv. 2400 København NV",66
https://www.boligsiden.dk/adresse/jens-otto-krags-gade-8-0-th-2300-koebenhavn-s-01013386___8_st__th,"Jens Otto Krags Gade 8, st. th. 2300 København S",64
https://www.boligsiden.dk/adresse/heimdalsgade-40-4-tv-2200-koebenhavn-n-01012744__40__4__tv,"Heimdalsgade 40, 4. tv. 2200 København N",72
https://www.boligsiden.dk/adresse/koldinggade-26-5-2100-koebenhavn-oe-01013828__26__5____,"Koldinggade 26, 5. 2100 København Ø",135
https://www.boligsiden.dk/adresse/bryggervangen-2-2-tv-2100-koebenhavn-oe-01010908___2__2__tv,"Bryggervangen 2, 2. tv. 2100 København Ø",89
https://www.boligsiden.dk/adresse/valby-langgade-39-1-tv-2500-valby-01017912__39__1__tv,"Valby Langgade 39, 1. tv. 2500 Valby",64
https://www.boligsiden.dk/adresse/weidekampsgade-33-4-th-2300-koebenhavn-s-01018122__33__4__th,"Weidekampsgade 33, 4. th. 2300 København S",107
https://www.boligsiden.dk/adresse/abel-cathrines-gade-21a-1-tv-1654-koebenhavn-v-01010004_21a__1__tv,"Abel Cathrines Gade 21A, 1. tv. 1654 København V",62
https://www.boligsiden.dk/adresse/klaksvigsgade-3-6-tv-2300-koebenhavn-s-01013722___3__6__tv,"Klaksvigsgade 3, 6. tv. 2300 København S",79
https://www.boligsiden.dk/adresse/carl-johans-gade-3-2-th-2100-koebenhavn-oe-01011068___3__2__th,"Carl Johans Gade 3, 2. th. 2100 København Ø",113
https://www.boligsiden.dk/adresse/strandboulevarden-38-5-tv-2100-koebenhavn-oe-01016988__38__5__tv,"Strandboulevarden 38, 5. tv. 2100 København Ø",104
https://www.boligsiden.dk/adresse/ungarnsgade-7-3-tv-2300-koebenhavn-s-01017848___7__3__tv,"Ungarnsgade 7, 3. tv. 2300 København S",65
https://www.boligsiden.dk/adresse/pakhusvej-4-0-tv-2100-koebenhavn-oe-01015389___4_st__tv,"Pakhusvej 4, st. tv. 2100 København Ø",101
https://www.boligsiden.dk/adresse/hamletsgade-8-4-137-2200-koebenhavn-n-01012552___8__4_137,"Hamletsgade 8, 4. 137. 2200 København N",65
https://www.boligsiden.dk/adresse/hoejenhald-13-2-tv-2700-broenshoej-01013200__13__2__tv,"Højenhald 13, 2. tv. 2700 Brønshøj",88
https://www.boligsiden.dk/adresse/frankrigshusene-3-4-th-2300-koebenhavn-s-01011900___3__4__th,"Frankrigshusene 3, 4. th. 2300 København S",73
https://www.boligsiden.dk/adresse/noerrebrogade-215-2-tv-2200-koebenhavn-n-01015192_215__2__tv,"Nørrebrogade 215, 2. tv. 2200 København N",60
https://www.boligsiden.dk/adresse/dybendalsvej-67-0-tv-2720-vanloese-01011384__67_st__tv,"Dybendalsvej 67, st. tv. 2720 Vanløse",78
https://www.boligsiden.dk/adresse/prags-boulevard-44-5-th-2300-koebenhavn-s-01015588__44__5__th,"Prags Boulevard 44, 5. th. 2300 København S",60
https://www.boligsiden.dk/adresse/nyborggade-10-1-tv-2100-koebenhavn-oe-01015088__10__1__tv,"Nyborggade 10, 1. tv. 2100 København Ø",57
https://www.boligsiden.dk/adresse/reberbanegade-15-0-tv-2300-koebenhavn-s-01015756__15_st__tv,"Reberbanegade 15, st. tv. 2300 København S",63
https://www.boligsiden.dk/adresse/oxford-alle-3b-2-2300-koebenhavn-s-01015384__3b__2____,"Oxford Allé 3B, 2. 2300 København S",134
https://www.boligsiden.dk/adresse/raadmandsgade-47-1-th-2200-koebenhavn-n-01016160__47__1__th,"Rådmandsgade 47, 1. th. 2200 København N",65
https://www.boligsiden.dk/adresse/oeresundsvej-140b-1-tv-2300-koebenhavn-s-01018544140b__1__tv,"Øresundsvej 140B, 1. tv. 2300 København S",87
https://www.boligsiden.dk/adresse/alliancevej-3-1-tv-2450-koebenhavn-sv-01010090___3__1__tv,"Alliancevej 3, 1. tv. 2450 København SV",84
https://www.boligsiden.dk/adresse/nattergalevej-34-1-th-2400-koebenhavn-nv-01014948__34__1__th,"Nattergalevej 34, 1. th. 2400 København NV",56
https://www.boligsiden.dk/adresse/dunkerquegade-24-5-th-2150-nordhavn-01011374__24__5__th,"Dunkerquegade 24, 5. th. 2150 Nordhavn",109
https://www.boligsiden.dk/adresse/belfastvej-13b-2300-koebenhavn-s-01010436_13b_______,Belfastvej 13B 2300 København S,94
https://www.boligsiden.dk/adresse/rosenvaengets-hovedvej-30-0-3-2100-koebenhavn-oe-01015952__30_st___3,"Rosenvængets Hovedvej 30, st. 3. 2100 København Ø",53
https://www.boligsiden.dk/adresse/torveporten-31-0-th-2500-valby-01017600__31_st__th,"Torveporten 31, st. th. 2500 Valby",81
https://www.boligsiden.dk/adresse/bramslykkevej-10-1-tv-2500-valby-01010788__10__1__tv,"Bramslykkevej 10, 1. tv. 2500 Valby",54
https://www.boligsiden.dk/adresse/englandsvej-38c-1-th-2300-koebenhavn-s-01011600_38c__1__th,"Englandsvej 38C, 1. th. 2300 København S",61
https://www.boligsiden.dk/adresse/emdrup-kaervej-3-0-2400-koebenhavn-nv-01011536___3_st____,"Emdrup Kærvej 3, st. 2400 København NV",92
https://www.boligsiden.dk/adresse/amerika-plads-20-1-4-2100-koebenhavn-oe-01010139__20__1___4,"Amerika Plads 20, 1. 4. 2100 København Ø",81
https://www.boligsiden.dk/adresse/langoegade-17-3-tv-2100-koebenhavn-oe-01014168__17__3__tv,"Langøgade 17, 3. tv. 2100 København Ø",69
https://www.boligsiden.dk/adresse/nikolaj-plads-9-4-tv-1067-koebenhavn-k-01014992___9__4__tv,"Nikolaj Plads 9, 4. tv. 1067 København K",182
https://www.boligsiden.dk/adresse/teglgaardstraede-16-2-tv-1452-koebenhavn-k-01017348__16__2__tv,"Teglgårdstræde 16, 2. tv. 1452 København K",56
https://www.boligsiden.dk/adresse/gormsgade-8-6-58-2200-koebenhavn-n-01012268___8__6__58,"Gormsgade 8, 6. 58. 2200 København N",44
https://www.boligsiden.dk/adresse/vendersgade-12-5-th-1363-koebenhavn-k-01018144__12__5__th,"Vendersgade 12, 5. th. 1363 København K",103
https://www.boligsiden.dk/adresse/drejoegade-26c-0-2-2100-koebenhavn-oe-01011332_26c_st___2,"Drejøgade 26C, st. 2. 2100 København Ø",39
https://www.boligsiden.dk/adresse/oerestads-boulevard-59b-7-715-2300-koebenhavn-s-01018541_59b__7_715,"Ørestads Boulevard 59B, 7. 715. 2300 København S",106
https://www.boligsiden.dk/adresse/teglholmsgade-6a-4-th-2450-koebenhavn-sv-01017352__6a__4__th,"Teglholmsgade 6A, 4. th. 2450 København SV",110
https://www.boligsiden.dk/adresse/fenrisgade-1-1-th-2200-koebenhavn-n-01011744___1__1__th,"Fenrisgade 1, 1. th. 2200 København N",74
https://www.boligsiden.dk/adresse/soendre-fasanvej-94a-2-14-2500-valby-01017312_94a__2__14,"Søndre Fasanvej 94A, 2. 14. 2500 Valby",84
https://www.boligsiden.dk/adresse/hamletsgade-22-3-th-2200-koebenhavn-n-01012552__22__3__th,"Hamletsgade 22, 3. th. 2200 København N",53
https://www.boligsiden.dk/adresse/ben-websters-vej-14-2-15-2450-koebenhavn-sv-01018823__14__2__15,"Ben Websters Vej 14, 2. 15. 2450 København SV",125
https://www.boligsiden.dk/adresse/carl-langes-vej-39-2-th-2500-valby-01011072__39__2__th,"Carl Langes Vej 39, 2. th. 2500 Valby",76
https://www.boligsiden.dk/adresse/strandgade-46-3-1401-koebenhavn-k-01016992__46__3____,"Strandgade 46, 3. 1401 København K",206
https://www.boligsiden.dk/adresse/nicolai-eigtveds-gade-34-0-th-1402-koebenhavn-k-01014970__34_st__th,"Nicolai Eigtveds Gade 34, st. th. 1402 København K",130
https://www.boligsiden.dk/adresse/under-elmene-12-0-tv-2300-koebenhavn-s-01017844__12_st__tv,"Under Elmene 12, st. tv. 2300 København S",64
https://www.boligsiden.dk/adresse/fiskedamsgade-9-1-th-2100-koebenhavn-oe-01011784___9__1__th,"Fiskedamsgade 9, 1. th. 2100 København Ø",58
https://www.boligsiden.dk/adresse/vigerslevvej-61b-0-tv-2500-valby-01018320_61b_st__tv,"Vigerslevvej 61B, st. tv. 2500 Valby",67
https://www.boligsiden.dk/adresse/ellebjergvej-21-1-mf-2450-koebenhavn-sv-01011492__21__1__mf,"Ellebjergvej 21, 1. mf. 2450 København SV",44
https://www.boligsiden.dk/adresse/tingskrivervej-3-2-th-2400-koebenhavn-nv-01017468___3__2__th,"Tingskrivervej 3, 2. th. 2400 København NV",66
https://www.boligsiden.dk/adresse/nattergalevej-44-3-2400-koebenhavn-nv-01014948__44__3____,"Nattergalevej 44, 3. 2400 København NV",49
https://www.boligsiden.dk/adresse/frankrigsgade-29-2-tv-2300-koebenhavn-s-01011896__29__2__tv,"Frankrigsgade 29, 2. tv. 2300 København S",47
https://www.boligsiden.dk/adresse/willy-brandts-vej-7-6-th-2450-koebenhavn-sv-01018844___7__6__th,"Willy Brandts Vej 7, 6. th. 2450 København SV",61
https://www.boligsiden.dk/adresse/vermundsgade-22-0-2100-koebenhavn-oe-01018180__22_st____,"Vermundsgade 22, st. 2100 København Ø",85
https://www.boligsiden.dk/adresse/klaksvigsgade-7-1-th-2300-koebenhavn-s-01013722___7__1__th,"Klaksvigsgade 7, 1. th. 2300 København S",106
https://www.boligsiden.dk/adresse/moellebakken-6-0-2700-broenshoej-01014888___6_st____,"Møllebakken 6, st. 2700 Brønshøj",133
https://www.boligsiden.dk/adresse/store-kongensgade-76-3-1264-koebenhavn-k-01016948__76__3____,"Store Kongensgade 76, 3. 1264 København K",156
https://www.boligsiden.dk/adresse/voelundsgade-22a-0-2200-koebenhavn-n-01018480_22a_st____,"Vølundsgade 22A, st. 2200 København N",71
https://www.boligsiden.dk/adresse/aaboulevard-34d-4-th-2200-koebenhavn-n-01018636_34d__4__th,"Åboulevard 34D, 4. th. 2200 København N",42
https://www.boligsiden.dk/adresse/valdemarsgade-72-5-tv-1665-koebenhavn-v-01017924__72__5__tv,"Valdemarsgade 72, 5. tv. 1665 København V",72
https://www.boligsiden.dk/adresse/vigerslevvej-148-2-mf-2500-valby-01018320_148__2__mf,"Vigerslevvej 148, 2. mf. 2500 Valby",48
https://www.boligsiden.dk/adresse/toendergade-24-1-tv-1752-koebenhavn-v-01017780__24__1__tv,"Tøndergade 24, 1. tv. 1752 København V",73
